Detailed,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
65.79,119.44,9.88,um,Spot,Position,3,206
79.82,120.62,8.68,um,Spot,Position,3,207
150.89,123.69,8.76,um,Spot,Position,3,208
69.40,131.36,9.34,um,Spot,Position,3,209
66.68,140.19,9.83,um,Spot,Position,3,210
160.04,140.25,8.95,um,Spot,Position,3,211
93.89,141.12,9.48,um,Spot,Position,3,212
116.54,144.07,9.08,um,Spot,Position,3,213
109.18,146.02,9.25,um,Spot,Position,3,214
167.63,110.17,11.32,um,Spot,Position,3,215
125.49,129.90,10.71,um,Spot,Position,3,216
82.44,131.65,10.01,um,Spot,Position,3,217
77.75,137.17,11.24,um,Spot,Position,3,218
122.32,141.67,11.21,um,Spot,Position,3,219
174.70,112.67,13.08,um,Spot,Position,3,220
169.68,117.48,13.62,um,Spot,Position,3,221
161.94,121.17,13.54,um,Spot,Position,3,222
159.21,126.45,12.92,um,Spot,Position,3,223
148.17,132.89,12.09,um,Spot,Position,3,224
148.93,138.88,12.43,um,Spot,Position,3,225
130.65,142.55,13.00,um,Spot,Position,3,226
76.18,144.37,12.37,um,Spot,Position,3,227
87.07,144.96,12.70,um,Spot,Position,3,228
150.39,146.93,12.65,um,Spot,Position,3,229
138.50,149.93,13.08,um,Spot,Position,3,230
97.36,152.16,12.13,um,Spot,Position,3,231
158.23,115.87,15.49,um,Spot,Position,3,232
80.93,118.54,14.77,um,Spot,Position,3,233
70.69,125.67,14.74,um,Spot,Position,3,234
79.47,126.02,15.48,um,Spot,Position,3,235
98.99,132.26,14.29,um,Spot,Position,3,236
113.66,136.28,15.57,um,Spot,Position,3,237
163.87,136.11,14.77,um,Spot,Position,3,238
157.09,137.06,14.63,um,Spot,Position,3,239
142.24,144.29,14.83,um,Spot,Position,3,240
84.42,150.97,14.30,um,Spot,Position,3,241
124.50,153.98,15.08,um,Spot,Position,3,242
133.68,155.15,15.57,um,Spot,Position,3,243
174.26,120.25,16.29,um,Spot,Position,3,244
88.04,122.30,16.52,um,Spot,Position,3,245
72.03,123.15,17.85,um,Spot,Position,3,246
127.25,128.87,16.25,um,Spot,Position,3,247
68.25,133.10,17.03,um,Spot,Position,3,248
137.43,137.31,16.61,um,Spot,Position,3,249
97.11,139.49,16.75,um,Spot,Position,3,250
65.50,140.76,17.20,um,Spot,Position,3,251
131.42,146.59,16.05,um,Spot,Position,3,252
112.43,151.95,16.93,um,Spot,Position,3,253
143.33,121.13,18.75,um,Spot,Position,3,254
133.84,124.27,19.40,um,Spot,Position,3,255
168.86,127.13,18.70,um,Spot,Position,3,256
88.69,131.17,18.75,um,Spot,Position,3,257
82.53,132.45,18.92,um,Spot,Position,3,258
97.29,137.13,19.60,um,Spot,Position,3,259
122.79,138.26,18.86,um,Spot,Position,3,260
101.40,149.23,19.18,um,Spot,Position,3,261
156.25,128.19,20.69,um,Spot,Position,3,262
142.91,129.89,20.81,um,Spot,Position,3,263
67.88,133.98,20.41,um,Spot,Position,3,264
140.81,136.09,21.68,um,Spot,Position,3,265
87.70,141.87,20.85,um,Spot,Position,3,266
161.24,118.46,22.02,um,Spot,Position,3,267
94.03,128.55,22.75,um,Spot,Position,3,268
104.62,130.58,23.91,um,Spot,Position,3,269
123.95,134.57,22.91,um,Spot,Position,3,270
151.75,139.31,22.50,um,Spot,Position,3,271
129.94,142.06,23.01,um,Spot,Position,3,272
144.79,145.06,22.54,um,Spot,Position,3,273
129.11,150.23,23.14,um,Spot,Position,3,274
173.31,114.04,24.96,um,Spot,Position,3,275
78.74,125.24,24.68,um,Spot,Position,3,276
164.90,126.98,24.36,um,Spot,Position,3,277
125.78,131.33,25.79,um,Spot,Position,3,278
157.50,135.28,24.39,um,Spot,Position,3,279
109.28,145.51,25.79,um,Spot,Position,3,280
144.55,152.35,24.72,um,Spot,Position,3,281
160.30,112.28,27.14,um,Spot,Position,3,282
78.25,116.92,27.12,um,Spot,Position,3,283
129.87,128.05,27.88,um,Spot,Position,3,284
61.19,133.01,27.03,um,Spot,Position,3,285
101.79,145.00,26.71,um,Spot,Position,3,286
72.41,146.24,27.31,um,Spot,Position,3,287
116.36,148.76,27.63,um,Spot,Position,3,288
128.58,154.23,26.07,um,Spot,Position,3,289
166.37,111.58,28.85,um,Spot,Position,3,290
170.79,117.13,29.67,um,Spot,Position,3,291
176.19,121.06,28.81,um,Spot,Position,3,292
140.79,126.90,28.29,um,Spot,Position,3,293
109.35,129.27,29.67,um,Spot,Position,3,294
101.74,131.99,29.43,um,Spot,Position,3,295
85.19,136.48,29.00,um,Spot,Position,3,296
94.52,137.07,29.07,um,Spot,Position,3,297
163.89,137.35,28.72,um,Spot,Position,3,298
137.15,139.31,28.61,um,Spot,Position,3,299
161.04,120.35,31.75,um,Spot,Position,3,300
151.83,125.07,30.40,um,Spot,Position,3,301
90.22,126.59,30.88,um,Spot,Position,3,302
171.04,129.96,30.61,um,Spot,Position,3,303
153.53,130.36,30.16,um,Spot,Position,3,304
134.58,132.28,30.79,um,Spot,Position,3,305
145.28,136.92,31.62,um,Spot,Position,3,306
